gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS14240	87.5376058862538	1.2770034141246218	0.1286645340759423	1.355138256015568e-23	3.6441365631624316e-23	Not significant
SAUSA300_RS14660	53.37390304157727	-1.2884612215626985	0.1301703228698875	1.4598061636509168e-23	3.9209669684838676e-23	Not significant
SAUSA300_RS00085	1148.998609996646	-0.291317259620529	0.02914333764412845	1.6713938283067764e-23	4.4839869804220714e-23	Not significant
SAUSA300_RS03530	237.19616502665244	-0.645088299218347	0.06478070360781565	1.7101908736455663e-23	4.5826669464589674e-23	Not significant
SAUSA300_RS05880	162.29873415955961	0.8654618510367852	0.08714010591230376	1.9026087228734816e-23	5.092276287690789e-23	Not significant
SAUSA300_RS09280	233.2512228286204	0.694506105556231	0.06994704618037957	2.2747131132687978e-23	6.081048569549371e-23	Not significant
SAUSA300_RS06690	91.65181521689702	1.2929376760481057	0.13104204375454903	2.3500495670280245e-23	6.275073667827178e-23	Not significant
SAUSA300_RS04430	2035.8847372461958	-0.22643676866018553	0.02291643450983936	2.405693770334185e-23	6.416123478910048e-23	Not significant
SAUSA300_RS06980	628.4367623817611	0.4022659980747829	0.04048024692235785	2.697845254585138e-23	7.186882850329262e-23	Not significant
SAUSA300_RS12115	2280.9901092085515	0.21384143519314572	0.02152267610983649	2.8566943064155324e-23	7.601145669117352e-23	Not significant
SAUSA300_RS08810	119.21025717789819	1.0467060829999089	0.10604203453330342	2.977086710218029e-23	7.912233955310767e-23	Not significant
SAUSA300_RS12210	853.7934838867603	-0.35522653030510676	0.035820173149322794	3.216825834481723e-23	8.539415138209942e-23	Not significant
SAUSA300_RS09170	560.3437941943067	0.43461226517291357	0.04385547224772026	3.338767909402923e-23	8.852793699174416e-23	Not significant
SAUSA300_RS13750	547.2122076187605	-0.4165183614813059	0.0420363516589653	3.4097327810854616e-23	9.030433151303173e-23	Not significant
SAUSA300_RS04395	53.81260216905226	1.686142706159233	0.17207375380220716	3.708480835866839e-23	9.802466514840249e-23	Up
SAUSA300_RS12390	54.06045654316162	-1.3002014203370353	0.13258711875004062	3.709856557924156e-23	9.802466514840249e-23	Not significant
SAUSA300_RS04335	43.91920868080967	2.0446880876816023	0.2090942162041693	3.809341831549879e-23	1.0053657386051015e-22	Up
SAUSA300_RS10695	12.915360527479812	-2.9667982987607178	0.30550956375719834	4.3818826756536144e-23	1.1551312963049795e-22	Down
SAUSA300_RS09255	262.7355740925753	0.6764529298063723	0.06868838090683568	5.098668170267941e-23	1.3425312601110607e-22	Not significant
SAUSA300_RS01840	77.57269303255094	-1.0718214445553482	0.10934191752648036	5.1202234383255467e-23	1.3466483609468923e-22	Not significant
SAUSA300_RS04950	522.2401852588379	0.4635495569639775	0.04700231715938026	5.348910043743337e-23	1.4051697863182554e-22	Not significant
SAUSA300_RS07890	109.29027675119629	1.0426405857109358	0.10639508554030792	5.935547186204889e-23	1.5574821048000143e-22	Not significant
SAUSA300_RS09805	892.810212173591	-0.3205757994773933	0.032525701286620405	6.710280648224045e-23	1.758742911832915e-22	Not significant
SAUSA300_RS02855	121.51198066768114	-0.8565887121782203	0.08763240457557508	8.317063678096144e-23	2.1773670733796e-22	Not significant
SAUSA300_RS10965	430.2822383415667	-0.4670625642558031	0.04761416047198401	8.709162831710408e-23	2.2773960278323195e-22	Not significant
SAUSA300_RS05670	57.895357168051056	1.5520302761370797	0.16023986487802314	1.162481066366368e-22	3.036331143494245e-22	Not significant
SAUSA300_RS12645	97.12273558817738	1.1211277644480502	0.11534783730111618	1.2088496545708368e-22	3.1538222065924927e-22	Not significant
SAUSA300_RS13060	186.90492934906732	0.7626771069660027	0.07821040353894426	1.2361052249526636e-22	3.221236410959118e-22	Not significant
