gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAUSA300_RS13895	141.13328386714068	1.0731240858202014	0.12176804706489112	76.2132649421903	2.82162824397339e-17	4.5110360190017306e-17
SAUSA300_RS00840	30.95797666485031	2.8009683207771183	0.29977700109648436	75.8601135646336	3.366554435327065e-17	5.378448974978281e-17
SAUSA300_RS10910	40.418403358160255	-1.0616907772983324	0.26202870916825144	75.81016717130356	3.4516866486560263e-17	5.5105874566262877e-17
SAUSA300_RS10410	1027.7303982592489	0.1427811825434834	0.046204499468499576	75.79642559304659	3.4754841198410304e-17	5.5446889008684044e-17
SAUSA300_RS03645	27.824551952794835	-2.4341530434318623	0.3235524572572458	75.75143417793802	3.5545536219647913e-17	5.666860189187037e-17
SAUSA300_RS03420	44.718643536854614	-1.7724091380609441	0.23050932268307495	75.72023325531492	3.610441099982904e-17	5.751928223011979e-17
SAUSA300_RS10420	20.408777981958295	2.5179398790757834	0.3018689798345108	75.67249613112443	3.6976538182148886e-17	5.88674768120285e-17
SAUSA300_RS04395	101.25707418659081	-1.426458133875093	0.1850274390163208	75.66668575968072	3.708411808705578e-17	5.899746059304328e-17
SAUSA300_RS05705	18.288178761562328	-3.297655051285599	1.0666154022374605	75.55428262005722	3.9227983772718896e-17	6.236454443251956e-17
SAUSA300_RS02975	699.762857103505	0.39252794745009584	0.05821951793993508	75.20860167813413	4.662938094448706e-17	7.407949835803634e-17
SAUSA300_RS11555	53.5326975525347	-1.4123498848797589	0.2600256343282519	75.18492504152331	4.7184674785957286e-17	7.490937553248627e-17
SAUSA300_RS12485	153.98616317804021	-0.6854122835345384	0.12116323388351179	75.09793636025711	4.9282226251566674e-17	7.818484290259008e-17
SAUSA300_RS02585	355.10248824892744	-0.19079176760171376	0.07733551852989672	75.00596475848408	5.160142532330957e-17	8.18071377076859e-17
SAUSA300_RS06455	97.84119870300489	1.2737932869201543	0.15060026274514168	74.8784162470865	5.4999470083993265e-17	8.713356158849908e-17
SAUSA300_RS09325	107.6936370581394	-0.9901386738891138	0.172234130002253	74.85331771273852	5.56940220726906e-17	8.811119625547366e-17
SAUSA300_RS10760	22.26485451936509	2.619448277194494	0.3292901172796391	74.85426076259566	5.566776714332425e-17	8.811119625547366e-17
SAUSA300_RS08440	80.89929290177791	-0.13014791207032908	0.1539945086408051	74.81370241805018	5.680818769325684e-17	8.98114155678661e-17
SAUSA300_RS07285	106.20382763461409	-1.2414529623898474	0.15141438704880417	74.75823300017092	5.840579847187672e-17	9.22730496691108e-17
SAUSA300_RS11070	20.883940830248985	-2.4692851905966906	0.3506385790855362	74.66008772132514	6.134341394473782e-17	9.684681937840288e-17
SAUSA300_RS03500	21.123350422633855	-2.6419603152293862	0.3758735929748628	74.62616013997513	6.239290730339058e-17	9.843123815642313e-17
SAUSA300_RS12620	71.81773703783274	0.05141244933743359	0.17106175645456123	74.6248584637732	6.243352820207409e-17	9.843123815642313e-17
SAUSA300_RS05600	54.97528875918089	-1.7395355090292814	0.21475875425010324	74.55723512415432	6.458060359885658e-17	1.0174575705498525e-16
SAUSA300_RS05085	289.38432392714464	0.5654147304978939	0.08080290959034371	74.44267911197414	6.838764077689458e-17	1.0766912302244648e-16
SAUSA300_RS07025	144.23004808389015	-0.826562917576409	0.11908142559899804	74.3251130186081	7.25281791726872e-17	1.141089955863509e-16
SAUSA300_RS02970	41.67527335328869	1.823487893271767	0.23017713597971293	74.18744295780596	7.769649873167039e-17	1.2215586358987568e-16
SAUSA300_RS06775	66.25686868422669	0.4248964063307156	0.18203912634376537	74.0530522938314	8.309674463088111e-17	1.3055600416799346e-16
SAUSA300_RS09400	49.04139616171941	-1.9230977580893212	0.25606337510758154	73.86739870864827	9.117970318983292e-17	1.431565388246169e-16
SAUSA300_RS13275	130.05285678742143	0.8226324066587893	0.12473797619299375	73.79036004975876	9.476040459980173e-17	1.4867580721693028e-16
SAUSA300_RS06105	168.6164002654377	-0.46311067887125573	0.1052468615993035	73.4946148873911	1.0986191183142357e-16	1.7225075769571925e-16
SAUSA300_RS01805	186.65494698488098	0.6726639489506911	0.10823033232130964	73.23323251189959	1.2520037050203246e-16	1.9616449234994756e-16
SAUSA300_RS08595	48.1042245069004	-1.6652372603709917	0.2255798619608047	73.13825004805287	1.3128974174236932e-16	2.0556377320295264e-16
SAUSA300_RS08060	113.75095413968629	1.0665413488645124	0.1261484097292889	72.9286271027614	1.457974197911283e-16	2.281218225755275e-16
